r,f,g,f_s,E_k,k,V_t,V_1,V_2
0.0,0.9999999999999966,1.000000000000008,0.0,0.0,0.0,0.0028093281889518306,0.0,0.0
0.050002500125006254,0.9974294986074956,0.9950357187680955,0.0001877177547922357,2.049440873594015e-07,0.05,0.005605697453107898,0.0007212475763662273,0.0
0.10000500025001251,0.9897417089496163,0.9801699780218394,0.0007480804636100171,8.218573796699373e-07,0.1,0.011135732789702785,0.00012060406319493885,0.0006281481604868066
0.15000750037501875,0.9770513763539123,0.9557361212482958,0.0016727537414329683,1.8569707691693995e-06,0.15000000000000002,0.01650022211642074,0.00038587350867338326,0.00023085231678832588
0.20001000050002501,0.9595467006955904,0.9222781781708776,0.0029480516340243106,3.3206280386562916e-06,0.2,0.021621382855752207,0.0008835984776094469,0.0008127104054945441
0.2500125006250313,0.9374847675418297,0.880533032341868,0.004555268307783437,5.227223004393663e-06,0.25,0.02642731506668751,0.001673325742636777,0.002355643820580789
0.3000150007500375,0.9111853519246401,0.8314065242458867,0.006471126504410339,7.595108970294993e-06,0.30000000000000004,0.030853648288317666,0.002800398185146501,0.005227115586398792
0.3500175008750438,0.8810233358011367,0.7759444940510557,0.008668328964062328,1.0446478075569246e-05,0.35000000000000003,0.03484493237269572,0.004293820963423079,0.009678017995597973
0.40002000100005003,0.8474199666358296,0.7152999862338515,0.011116193643953703,1.3807207606340358e-05,0.4,0.03835573127284625,0.006164924776318084,0.01573971117516709
0.45002250112505626,0.8108332732552381,0.650697950174096,0.013781352968521381,1.770666995790926e-05,0.45,0.04135140280274822,0.008406885246048507,0.023208031006451163
0.5000250012500626,0.7717478974882307,0.5833988433837112,0.01662849366970956,2.217750269961388e-05,0.5,0.043808538452990965,0.010995130318890179,0.03168339204986707
0.5500275013750688,0.7306647051686034,0.5146625477887014,0.019621115430683053,2.7255335125990966e-05,0.55,0.04571505836579045,0.013888575176982255,0.04064447322694865
0.600030001500075,0.6880904439734323,0.4457139366744402,0.02272228526094453,3.297846778898681e-05,0.6000000000000001,0.04706997627332276,0.01703156864264023,0.04953152706848846
0.6500325016250813,0.6445277845828282,0.3777113026212781,0.02589536642281487,3.938750180424813e-05,0.65,0.04788286486379743,0.020356446043900824,0.05782000572092414
0.7000350017500876,0.600465956885473,0.311718668766397,0.029104701658156908,4.652491521282481e-05,0.7000000000000001,0.04817304900809166,0.02378657553884827,0.06507344108688058
0.7500375018750938,0.5563722675141617,0.2486828023229682,0.032316234260977204,5.443458435537845e-05,0.75,0.04796856456813951,0.027239696116847154,0.07097268252629946
0.8000400020001001,0.5126846414068582,0.18941549011609338,0.03549805328662971,6.316124907129695e-05,0.8,0.04730493865268426,0.03063134672456978,0.07532436875629007
0.8500425021251063,0.469805371444775,0.13458138987655646,0.03862085203059211,7.274992155676977e-05,0.8500000000000001,0.04622384521858275,0.03387823990257889,0.07805426194925766
0.9000450022501125,0.42809612023059396,0.08469150948056771,0.041658292818437706,8.324523988563847e-05,0.9,0.04477168752485172,0.036901457455690026,0.07919136509519337
0.9500475023751188,0.3878742638014302,0.04010213628427272,0.044587274835849504,9.469076849173848e-05,0.9500000000000001,0.04299815328674615,0.039629282799507275,0.0788476304969101
1.000050002500125,0.3494105374402207,0.001018819634922435,0.04738810571640038,0.00010712824930427364,1.0,0.04095480201829728,0.041999546919424986,0.07719652976342999
1.0500525026251313,0.3129279645177491,-0.03249516768576002,0.05004457932013497,0.0001205968086876043,1.05,0.03869372410469092,0.04396144236108909,0.07445242192496632
1.1000550027501377,0.2786019561692199,-0.06050659310977134,0.052543966563974594,0.00013513212682972515,1.1,0.036266310530917556,0.045476772002637,0.07085176512027493
1.1500575028751439,0.2465614915031626,-0.08319705923699504,0.05487692721829022,0.00015076557771342207,1.1500000000000001,0.033722157425203986,0.04652057259768173,0.06663673203948814
1.20006000300015,0.2168912219370876,-0.10084567205779424,0.057037353698493554,0.00016752334925287195,1.2000000000000002,0.031108137681338438,0.047081158378809156,0.06204155353621208
1.2500625031251564,0.18963435031512962,-0.11381044390222679,0.059022157104031185,0.0001854255545479104,1.25,0.028467642502180618,0.04715965910317484,0.05728177489349207
1.3000650032501626,0.1647961232007765,-0.12250923545738253,0.060831009592565696,0.0002044853464601852,1.3,0.02584000362500488,0.04676907354223994,0.052546473996234994
1.3500675033751688,0.14234776730818938,-0.12740099903982052,0.06246605392412322,0.00022470804881292975,1.35,0.02326009300529805,0.045932913149021,0.0479933362825146
1.4000700035001752,0.12223071436392052,-0.12896796528023668,0.06393159319343489,0.0002460903184241348,1.4000000000000001,0.020758097455172098,0.044683619379838765,0.043746326349133294
1.4500725036251814,0.10436094994449938,-0.12769932595050829,0.0652337706311898,0.00026861935286934057,1.4500000000000002,0.01835944005497611,0.043060831354669545,0.03989557129965569
1.5000750037501875,0.08863338215300419,-0.12407681473371722,0.06638025175918466,0.0002922721593066833,1.5,0.016084840720388377,0.041109473391168036,0.03649899857783535
1.550077503875194,0.07492607962033107,-0.11856248804389417,0.06737991551140793,0.0003170148998591841,1.55,0.013950499650846326,0.038877925282845116,0.033585256678094644
1.6000800040002001,0.06310430447556599,-0.11158885534176113,0.06824256181833564,0.0003428023289186385,1.6,0.01196836646781771,0.036416243160209194,0.0311574813776822
1.6500825041252063,0.05302425783071286,-0.10355141212496345,0.06897864138984428,0.00036957733729856907,1.6500000000000001,0.010146492160058695,0.03377457318827138,0.029197535187900546
1.7000850042502127,0.04453646869973815,-0.09480351227091756,0.06959901040345834,0.00039727061741334096,1.7000000000000002,0.008489417727424842,0.031001865328296435,0.02767042443233147
1.7500875043752189,0.037488828274503255,-0.08565343439016575,0.07011471370408624,0.00042580046259596674,1.75,0.0069985913995194715,0.028144666808110754,0.02652867141449914
1.800090004500225,0.03172921534375216,-0.07636342522749548,0.07053679591850415,0.00045507271229417855,1.8,0.005672803886470346,0.02524618653852246,0.02571647949364544
1.8500925046252314,0.02710773407062711,-0.0671504547577992,0.0708761410084084,0.0004849808532155739,1.85,0.004508615333376459,0.022345760554456754,0.025173573787901048
