r,f,g,f_s,E_k,k,V_t,V_1,V_2
0.0,1.0000000000000042,0.9999999999999976,0.0,0.0,0.0,0.004235516455123139,0.0,0.0
0.050002500125006254,0.9974554578235403,0.994829234253147,0.00027309607389938093,-6.731244393774582e-07,0.05,0.008313583327537665,0.0011210731178577511,0.0
0.10000500025001251,0.9900110111063927,0.979347920151968,0.0010883004490638384,-2.6615877059705403e-06,0.1,0.016378390638767486,0.00024465073899345357,0.0009374363431889569
0.15000750037501875,0.9777763909590795,0.9539022100156271,0.0024335437901851103,-5.873193991733253e-06,0.15000000000000002,0.02420267248831801,0.0006293316577724764,0.00035695172339012416
0.20001000050002501,0.96093086393559,0.9190572798055384,0.0042890992093195645,-1.0156056114192922e-05,0.2,0.03167439675394957,0.0013496646892501437,0.0012033377419641484
0.2500125006250313,0.9397187706861185,0.8755790726383017,0.0066280688451570025,-1.5301224103682095e-05,0.25,0.03869020617604271,0.002490819269071222,0.0034343847267685125
0.3000150007500375,0.9144435642288703,0.8244098125834498,0.00941703876085848,-2.104630541788957e-05,0.30000000000000004,0.04515782380910961,0.0041170697654891505,0.007565361125824883
0.3500175008750438,0.8854604583895765,0.766638296777793,0.012616880024510758,-2.708001815917776e-05,0.35000000000000003,0.050998100935420176,0.0062686822553395145,0.013937731207666063
0.40002000100005003,0.8531680054512483,0.7034661860850655,0.016183669757198187,-3.304760358783102e-05,0.4,0.05614660564475006,0.008959994431198538,0.022571658353816762
0.45002250112505626,0.8179988358733674,0.6361716542417724,0.020069702792154184,-3.855701035395892e-05,0.45,0.06055475513100811,0.012178781530133036,0.03314997263050475
0.5000250012500626,0.7804098754574803,0.5660718125399916,0.024224560982906193,-4.3185750439143255e-05,0.5,0.06419042610491492,0.015886913467947798,0.04508642676320258
0.5500275013750688,0.7408723516395106,0.4944853452889537,0.028596209245120272,-4.6488316008799335e-05,0.55,0.06703807496481226,0.020022254958294714,0.05764313519471979
0.600030001500075,0.6998618662669663,0.42269670490426475,0.03313208401225343,-4.800403740268276e-05,0.6000000000000001,0.0690983470227735,0.02450164516464681,0.07005932227451049
0.6500325016250813,0.6578488714163524,0.35192312291691163,0.037780145906354264,-4.726525547851612e-05,0.65,0.07038725108039215,0.029224788841249,0.08166038797329774
0.7000350017500876,0.6152897339392652,0.28328548049038843,0.04248986388590487,-4.3805676583878615e-05,0.7000000000000001,0.07093491216091137,0.03407885661739884,0.09192935450753002
0.7500375018750938,0.572618709904936,0.2177839023721463,0.04721311006073993,-3.7168775641064927e-05,0.75,0.07078399378412248,0.03894352481141055,0.1005364002419875
0.8000400020001001,0.5302409048245053,0.15627866104148816,0.05190494114560012,-2.691611222933554e-05,0.8,0.06998783804908464,0.04369618440250863,0.10733253099938204
0.8500425021251063,0.48852648283306815,0.09947675940811183,0.05652425378552696,-1.2635426143003431e-05,0.8500000000000001,0.06860842743963116,0.0482170457360274,0.11231896978168475
0.9000450022501125,0.44780607585820786,0.04792427058172153,0.06103429832883712,6.051617340329713e-06,0.9,0.06671423051585826,0.05239396024619637,0.11560492499065247
0.9500475023751188,0.40836758126034195,0.0020043051988568963,0.06540304900214006,2.9482156397747926e-05,0.9500000000000001,0.0643780174422384,0.05612668812730913,0.1173643913114433
1.000050002500125,0.37045419570165006,-0.03805976152447287,0.06960342890451315,5.7945451881890144e-05,1.0,0.061674719061923816,0.059330442966339894,0.11779914260978279
1.0500525026251313,0.33426378516491784,-0.07219633772109678,0.0736133943407428,9.167690320731419e-05,1.05,0.058679400755162814,0.06193858414041488,0.11711142050945945
1.1000550027501377,0.29994935328483524,-0.10047362832515795,0.07741588649118342,0.00013085285590284842,1.1,0.05546540786900314,0.06390444728103235,0.11548685241350634
1.1500575028751439,0.2676206396818011,-0.12308439366577291,0.08099866298806975,0.0001755862829542239,1.1500000000000001,0.05210272014670256,0.065202204123131,0.11308620807942159
1.20006000300015,0.23734656548953798,-0.14032828531072988,0.08435402744306429,0.00022592340790904074,1.2000000000000002,0.0486565654255631,0.06582680006126582,0.1100437075829912
1.2500625031251564,0.20915849736738865,-0.15259261969634802,0.08747847044451862,0.00028184132252628445,1.25,0.045186300588621886,0.06579303296134509,0.10646948592891378
1.3000650032501626,0.18305403759388944,-0.16033240946621627,0.09037224530832227,0.00034324663577985765,1.3,0.041744584198837614,0.0651339162668379,0.10245418373449873
1.3500675033751688,0.15900128218083873,-0.16405042804825956,0.09303889386555786,0.00040997517453647753,1.35,0.03837681994748049,0.06389837300033839,0.09807418264696768
1.4000700035001752,0.1369432796782587,-0.16427797458990612,0.0954847464185597,0.0004817927394966822,1.4000000000000001,0.0351208859726749,0.062148549756101984,0.09339653969634935
1.4500725036251814,0.11680261451935092,-0.1615569356017235,0.09771840776190831,0.000558396903290082,1.4500000000000002,0.032007090408942535,0.05995664463338904,0.08848309712756898
1.5000750037501875,0.09848591923384928,-0.1564235977247656,0.09975025198599935,0.0006394198212267987,1.5,0.029058389499720727,0.05740163517144807,0.08339353270990245
1.550077503875194,0.08188819572505224,-0.14939455303283297,0.10159193766833154,0.0007244320093940294,1.55,0.0262907650193977,0.05456618731154227,0.07818729457320994
1.6000800040002001,0.06689687400067937,-0.14095492407946045,0.10325595413693445,0.0008129470298062935,1.6,0.023713769525289363,0.051533381320564176,0.07292447270883473
1.6500825041252063,0.05339547831532157,-0.13154901282737225,0.10475521237591182,0.0009044270084112848,1.6500000000000001,0.02133120294965757,0.04838384678306804,0.06766572866486902
1.7000850042502127,0.04126687295820293,-0.12157338843082449,0.10610268182944754,0.0009982888991417612,1.7000000000000002,0.019141861003078464,0.04519325414500492,0.062471454077187294
1.7500875043752189,0.030396029169312933,-0.11137232666246262,0.10731108510092364,0.001093911396086011,1.75,0.017140341344544174,0.042030150259664584,0.057400363434665785
1.800090004500225,0.020672302292598917,-0.10123545477612089,0.10839264577009626,0.00119064238639708,1.8,0.015317863335947923,0.03895423758540007,0.0525077457661488
1.8500925046252314,0.01199121373553743,-0.09139738655106955,0.1093588931577405,0.001287806828916941,1.85,0.013663085131496666,0.03601519653918316,0.04784360113031156
1.9000950047502376,0.004255746367921183,-0.08203910432480378,0.11022051957231777,0.0013847149377676862,1.9000000000000001,0.012162873717198264,0.033252017212922334,0.043450870242419753
1.9500975048752438,-0.0026227987412554958,-0.07329081048993848,0.11098728994945795,0.0014806705464359032,1.9500000000000002,0.010803024041568132,0.030692713098694323,0.03936393173873093
2.00010000500025,-0.008724370979456499,-0.06523596708125877,0.11166799632695136,0.0015749795261929763,2.0,0.009568904375874154,0.02835446960717848,0.03560749641893876
2.0501025051252566,-0.014120088871015714,-0.05791623477495129,0.11227045221263653,0.0016669581330626133,2.0500000000000003,0.00844602229964364,0.0262442477311706,0.03219597742366588
2.1001050052502626,-0.018872488779260413,-0.0513370393277868,0.11280152183108107,0.0017559411599423912,2.1,0.007420491050864453,0.024359723343917374,0.029133365585030224
2.150107505375269,-0.023036003918947664,-0.04547350860974477,0.11326717669138721,0.001841289774849593,2.15,0.006479405364549939,0.022690397208284967,0.02641359485752386
2.2001100055002754,-0.026657664638304514,-0.040276546623927933,0.11367257447405198,0.0019223989325013937,2.2,0.005611124118212296,0.02121891850145531,0.02402134691814634
2.2501125056252813,-0.02977791703742729,-0.03567883601971935,0.11402215178363595,0.001998704254433238,2.25,0.004805463869791082,0.019922590121754298,0.021933218235772982
2.3001150057502877,-0.03243155579123188,-0.03160059418893444,0.11431972811931954,0.002069688282456046,2.3000000000000003,0.004053803390491606,0.01877492576357715,0.020119157314577737
2.350117505875294,-0.034648668366806135,-0.027954934508091035,0.11456861208376937,0.0021348860212761444,2.35,0.003349113950805449,0.017747128841109707,0.01854407359506204
2.4001200060003,-0.0364556042358087,-0.024652717610049033,0.11477170875647187,0.0021938896983527256,2.4000000000000004,0.002685924933835959,0.01680954217686019,0.017169521216088682
2.4501225061253065,-0.037875877775327915,-0.0216068024252111,0.11493162072452372,0.0022463526823282348,2.45,0.0020602323083105945,0.01593301054540492,0.01595536877022646
2.500125006250313,-0.0389310275082027,-0.018735644116455865,0.11505074281669561,0.0022919925154049913,2.5,0.0014693621263867085,0.015090090106042758,0.014861378527546976
2.550127506375319,-0.039641354992901945,-0.01596619680002366,0.11513134444448857,0.0023305930296129403,2.5500000000000003,0.0009117995848825777,0.014256022379918961,0.013848633661513428
2.600130006500325,-0.0400265786764243,-0.01323612046643834,0.11517564095072239,0.002362005531769066,2.6,0.0003869995705061968,0.013409562952762567,0.012880768280730488
2.6501325066253316,-0.040106345149290214,-0.010495297671071258,0.11518584994656764,0.0023861490568166128,2.6500000000000004,-0.00010482065877198687,0.012533567595031833,0.011924971295043116
2.7001350067503376,-0.03990063389966042,-0.007706700738281572,0.11516423422000494,0.00240300970390221,2.7,-0.0005628855558649226,0.011615361527831344,0.0109527503334046
2.750137506875344,-0.039430023358265946,-0.004846641066575634,0.11511312972536004,0.002412639083758244,2.75,-0.000986065422162119,0.010646895098217781,0.00994045536081907
