u_total,v_total,w_total
0.201446608,0.200453803,0.0562458411
0.202391759,0.197556719,0.0813381895
0.201315627,0.192752808,0.105500899
0.198246986,0.186201438,0.127981678
0.193267107,0.178097129,0.148151085
0.186520666,0.168690413,0.165426344
0.17818515,0.158237591,0.179393351
0.168494537,0.147032931,0.189740747
0.157689139,0.135345802,0.196336001
0.146051034,0.123462826,0.199174762
0.133841291,0.11162091,0.198404163
0.121344939,0.10005603,0.194292292
0.108802982,0.0889400318,0.187203228
0.0964642242,0.0784328058,0.177589923
0.0845185295,0.068627052,0.165933564
0.0731520057,0.0596006513,0.152761295
0.0624870695,0.051371634,0.13856563
0.0526368842,0.0439468846,0.123844914
0.0436549038,0.0372874625,0.109018102
0.0355853811,0.0313510783,0.0944823697
0.0284233019,0.0260655396,0.0805343464
0.0221582949,0.0213640779,0.0674370825
0.0167443901,0.0171645675,0.0553542785
0.0121356761,0.0133973965,0.0444182493
0.00826455746,0.0099883303,0.0346786343
0.00506877713,0.00687989919,0.0261644442
0.002476305,0.0040163314,0.0188462455
0.000424475147,0.00135982246,0.0126875173
-0.00114933937,-0.00112177501,0.00762064289
-0.00229957211,-0.00344958343,0.00357160182
-0.00307016587,-0.00563059654,0.000471299165
-0.00349793723,-0.00766831776,-0.00175460428
-0.00360825215,-0.00955314282,-0.00316599919
-0.00341705605,-0.0112733198,-0.00381638063
-0.00293064187,-0.0128065776,-0.00374381267
-0.00214536488,-0.0141291963,-0.00297326315
-0.00105102896,-0.0152088795,-0.00151674647
0.000371595117,-0.0160112698,0.000630066497
0.00214359979,-0.0164944194,0.00347974803
0.00429266877,-0.0166121274,0.00706257205
0.00684156083,-0.0163108073,0.0114111966
0.00981523003,-0.0155290915,0.0165769476
0.0132243168,-0.0141983815,0.0226073712
0.0170749445,-0.0122381439,0.0295704659
0.021346977,-0.00956214778,0.0375244655
0.0260069296,-0.00606878195,0.046551276
0.0309815221,-0.00165543798,0.0567171648
0.0361743532,0.00379673229,0.0681162626
0.0414366797,0.0103976522,0.0808199719
0.0465880446,0.0182703082,0.0949310139
0.0513883382,0.0275118854,0.110518217
0.0555614531,0.0382246673,0.127681151
0.0587743931,0.0504613817,0.146466896
0.0606614165,0.0642676726,0.166944966
0.0608173348,0.0796115324,0.189103484
0.0588173307,0.0964402631,0.212935179
0.0542319044,0.11459633,0.238313034
0.0466398336,0.133879349,0.265072614
0.0356437489,0.154013693,0.292955667
0.0209212881,0.174607277,0.321540356
0.00219455734,0.195241436,0.350351244
-0.0206744876,0.215379834,0.378715932
-0.047755722,0.234481543,0.405907929
-0.0789225549,0.251922309,0.431022555
-0.113971762,0.26711008,0.45313108
-0.152466118,0.279428333,0.471194267
-0.193905577,0.288337767,0.484210283
-0.237549245,0.293348014,0.491181791
