u_total,v_total,w_total
0.149204597,0.364535779,-0.289932609
0.180959791,0.381129533,-0.295302212
0.214621246,0.393415391,-0.296064943
0.24949868,0.400773644,-0.291829318
0.284877717,0.402747393,-0.282360226
0.31987837,0.399039179,-0.267623931
0.35365653,0.389543563,-0.247757033
0.385273933,0.374380261,-0.223142311
0.41389963,0.353850663,-0.194305539
0.438697666,0.328503102,-0.162015542
0.459002972,0.299014688,-0.127115712
0.474234134,0.266282141,-0.09064053
0.484016269,0.231242076,-0.0536026768
0.488124669,0.194982782,-0.017119037
0.486538529,0.158528939,0.0178163014
0.479416937,0.122967005,0.0502035394
0.467078388,0.089225553,0.0792452544
0.450012475,0.0582071915,0.104222961
0.428791523,0.0305945165,0.124658719
0.404117614,0.00697766617,0.140205815
0.376684517,-0.0122912284,0.150747657
0.347259015,-0.0269863605,0.156312257
0.316514701,-0.0370953977,0.15710564
0.285142958,-0.0427341014,0.15345946
0.253680319,-0.0441765264,0.145806953
0.222643107,-0.0418036096,0.134669855
0.192364573,-0.0360863954,0.120592669
0.163143396,-0.0275710206,0.104168668
0.135117918,-0.0168356765,0.085961327
0.108335301,-0.0044731521,0.066506736
0.082812354,0.00889966264,0.046340473
0.0584419295,0.0227122214,0.0259049144
0.0351377353,0.0363909714,0.00564123318
0.0127356146,0.0494366549,-0.0141104031
-0.00887348223,0.0613695495,-0.0330128446
-0.0298367627,0.0718007982,-0.0508251861
-0.0502214432,0.0803835467,-0.0673094541
-0.0701088235,0.0868705735,-0.0823146254
-0.0894916058,0.0910796896,-0.0956953987
-0.108373173,0.0929308385,-0.107384324
-0.126679078,0.0924293101,-0.117326431
-0.144360602,0.0896771848,-0.125536278
-0.161319822,0.0848741084,-0.132049277
-0.177513197,0.078300871,-0.136960879
-0.192887291,0.0703345761,-0.140392676
-0.20747678,0.0614069737,-0.142513245
-0.221346885,0.0520286001,-0.143515557
-0.234680608,0.0427304581,-0.143620968
-0.247721732,0.0340906046,-0.143064782
-0.260848612,0.026671838,-0.142087176
-0.274510473,0.0210439451,-0.140923798
-0.289288759,0.0177316666,-0.139789268
-0.305817127,0.0172253083,-0.138870195
-0.324837744,0.0199524686,-0.138308138
-0.347093314,0.0262682568,-0.138192698
-0.373391002,0.036461167,-0.138550058
-0.404454768,0.0507144928,-0.139336362
-0.440990359,0.0691388026,-0.140434474
-0.483607888,0.0917604417,-0.141653255
-0.532684088,0.118464753,-0.142727926
-0.588508785,0.149094656,-0.14333196
-0.651006043,0.183317453,-0.143084541
-0.719970942,0.220769897,-0.141568795
-0.794740736,0.260890484,-0.138354346
-0.874517262,0.303100079,-0.133013025
-0.958003998,0.346611708,-0.125162065
-1.04381025,0.390641034,-0.114465043
-1.13007975,0.434210896,-0.100698918
-1.2149545,0.476381332,-0.0837262571
-1.29622459,0.51606673,-0.0635843426
-1.37181449,0.552269757,-0.0404170156
-1.43948019,0.583929539,-0.0145794293
-1.49726307,0.610133886,0.0134768095
-1.54325902,0.630011737,0.0430910103
-1.57598054,0.64289856,0.0735523403
-1.59421277,0.648278058,0.103988193
-1.59722781,0.645873904,0.133551136
-1.58473682,0.635643363,0.161317542
-1.55692065,0.61777699,0.186476022
-1.51448107,0.592742503,0.208240792
-1.45847631,0.561185002,0.226014391
-1.39047039,0.524019182,0.23931697
-1.31219554,0.482240826,0.247896731
-1.22579312,0.43705976,0.251678258
-1.1334039,0.389679462,0.250806928
-1.03720224,0.341315657,0.245608419
-0.939499021,0.293241888,0.236587897
-0.842245579,0.24653846,0.22437048
-0.747439444,0.202286646,0.209704012
-0.656601429,0.161314905,0.193358928
-0.571198285,0.124394216,0.176154628
-0.49218604,0.0920312628,0.158839643
-0.420422286,0.0646485016,0.142136872
-0.356295109,0.0424356349,0.126629859
-0.30009675,0.0254978612,0.112819254
-0.251744717,0.0137672704,0.101033106
-0.211093262,0.00710574444,0.091486156
-0.177736714,0.00526821986,0.0842230394
-0.151248112,0.007953736,0.079171814
-0.131050512,0.0148105398,0.0761211738
-0.116578415,0.0254342686,0.0747626871
-0.107202739,0.0394063853,0.0746959746
-0.102321282,0.0562449247,0.0754591301
-0.101324402,0.0754704624,0.0765517205
-0.103626974,0.096521467,0.0774571374
-0.108665228,0.118843421,0.0776712373
-0.115886256,0.141784847,0.076723285
-0.124768719,0.164705187,0.0741973668
-0.134785786,0.186868727,0.0697583556
-0.145444229,0.207563818,0.0631551743
-0.156235501,0.226011246,0.0542557985
-0.166686475,0.241482481,0.0430231988
-0.176311195,0.253235906,0.0295617282
-0.184660941,0.260613054,0.0140701234
-0.19130969,0.263026953,-0.00315146148
-0.195854977,0.259995162,-0.0216781422
-0.197954386,0.251167327,-0.0410544127
-0.197317168,0.236357406,-0.0607277304
-0.193725139,0.215512812,-0.080167599
-0.187048823,0.188788295,-0.0987980738
-0.17723918,0.156438231,-0.116118386
-0.164367735,0.118930936,-0.131639645
-0.148583025,0.0767654181,-0.144990444
-0.130173787,0.0306203961,-0.155860797
-0.109488264,-0.0188875794,-0.164080098
-0.0870146304,-0.0710232854,-0.169571608
-0.0632689744,-0.125213265,-0.172394529
-0.038885802,-0.180833101,-0.172712326
-0.0144832879,-0.237500966,-0.170797452
0.0092427507,-0.29483521,-0.167014435
0.0316618532,-0.35273838,-0.161793128
0.0521200299,-0.411121011,-0.155625135
0.0700727552,-0.470170677,-0.149016976
0.0850098878,-0.530039847,-0.142494768
0.0965612233,-0.591096699,-0.136550456
0.104439892,-0.653585076,-0.131650388
0.108508669,-0.717868567,-0.128187686
0.108745441,-0.784067452,-0.126487955
0.105266042,-0.852276444,-0.126778871
0.0982986167,-0.922401309,-0.129192427
0.0881942436,-0.993988037,-0.133749872
0.0753768608,-1.06649828,-0.140374273
0.0603695959,-1.1389538,-0.14887321
0.0437125415,-1.21029949,-0.158978418
0.0260101575,-1.27908194,-0.170318529
0.00782819651,-1.34384489,-0.182484075
-0.0102435313,-1.40286088,-0.194992691
-0.0276982524,-1.45451939,-0.207369074
-0.0440426171,-1.49713135,-0.219108149
-0.0588936955,-1.52926004,-0.229756728
-0.0719096512,-1.54960155,-0.238878652
-0.0828666538,-1.55720878,-0.24612461
-0.0915969759,-1.55145729,-0.251203686
-0.0980397314,-1.53211534,-0.253928751
-0.102192335,-1.49939358,-0.254198253
-0.104133539,-1.4538449,-0.252009898
-0.103992149,-1.3964982,-0.24745445
-0.101944864,-1.32859099,-0.240696415
-0.0982035175,-1.25178587,-0.231981292
-0.0929932743,-1.16776586,-0.221586943
-0.0865580812,-1.0785296,-0.209845871
-0.0791252032,-0.985901296,-0.197075337
-0.0709268674,-0.891884685,-0.183613569
-0.0621577613,-0.7981475,-0.169740483
-0.0530095324,-0.706417441,-0.155726537
-0.0436260477,-0.617986083,-0.141753748
-0.0341470912,-0.534123361,-0.127975836
-0.0246702377,-0.455682486,-0.114455193
-0.0152710676,-0.383276373,-0.101191215
-0.0060245865,-0.317407936,-0.0881500021
0.00302981655,-0.258191884,-0.0752186626
0.0118382405,-0.205704376,-0.0622833185
0.0203713775,-0.159726307,-0.0491820425
0.028577555,-0.120033406,-0.0357862115
0.0364208817,-0.0862036571,-0.0219540205
0.0438394807,-0.057841748,-0.00761276064
0.0507829338,-0.0344388783,0.00729487417
0.0571770705,-0.0155337062,0.0227300934
0.0629596189,-0.000613248383,0.0386247188
0.0680523887,0.0107811261,0.0548047945
0.0723931864,0.0191198792,0.0710718781
0.0759153143,0.024823226,0.0871334821
0.0785731003,0.0283005219,0.102695122
0.0803286359,0.0299202185,0.117399506
0.0811680928,0.030027777,0.130920544
0.0810953677,0.0289371051,0.142912343
0.0801374316,0.0269322768,0.15309377
0.0783443674,0.0242722165,0.16120784
0.0757835135,0.0211816709,0.167085007
0.0725452453,0.0178632941,0.170614064
0.0687272325,0.0144831836,0.17177543
0.0644454882,0.0111865355,0.170624897
0.0598112345,0.00808213372,0.167293936
0.0549465828,0.00525908964,0.161986932
0.0499571562,0.00277345208,0.154952362
0.0449514017,0.000664075895,0.146493673
0.0400153808,-0.0010559255,0.136925325
0.0352192819,-0.00239039958,0.126566485
0.0306237452,-0.00335549749,0.115747474
0.026258504,-0.00398149993,0.104751229
0.0221443083,-0.00430475175,0.0938540921
0.0182721317,-0.00436791219,0.0832645372
0.0146244382,-0.00421575597,0.0731706321
0.011158023,-0.00389358005,0.0636866689
0.00782411452,-0.00344642112,0.0549028851
0.00455400115,-0.00291669252,0.04684259
0.00127837586,-0.002345816,0.0395102166
-0.00208566152,-0.00177174795,0.032858707
-0.00561509933,-0.00123189576,0.0268332381
-0.00939421169,-0.000760823837,0.0213468783
-0.0134936236,-0.000393184746,0.0163185354
-0.0179854091,-0.000161814372,0.0116540389
-0.0229193978,-9.95010487e-05,0.00727823237
-0.0283418857,-0.000237723405,0.00311842957
-0.0342682302,-0.000606310088,-0.000868921576
-0.0407066792,-0.00123330182,-0.00471501518
-0.0476271138,-0.00214187847,-0.00841704942
-0.0549908765,-0.00335205416,-0.0119566405
-0.0627164915,-0.00487464434,-0.0152833536
-0.0707157105,-0.00671566417,-0.0183350146
-0.0788574666,-0.00886754319,-0.0210264605
-0.0870043784,-0.0113154296,-0.0232693031
-0.0950018764,-0.0140340915,-0.0249723103
-0.102668375,-0.0169820972,-0.0260475185
-0.109834626,-0.0201144405,-0.0264246054
-0.116312832,-0.0233697221,-0.0260535013
-0.121937782,-0.0266873259,-0.0249129254
-0.126541406,-0.0299944468,-0.0230176449
-0.129985541,-0.0332253613,-0.0204166863
-0.132143959,-0.0363090523,-0.0172041021
-0.132921264,-0.0391884856,-0.0135063147
-0.132243425,-0.0418093912,-0.0094949929
-0.130059972,-0.0441374145,-0.00536548905
-0.126343444,-0.0461481623,-0.00135036767
-0.121072747,-0.0478404872,0.00230665528
-0.114243247,-0.0492275618,0.00533888256
-0.105831519,-0.050345175,0.00748108421
-0.0958178639,-0.051243607,0.008462728
-0.0841341168,-0.0519907586,0.00802469626
-0.0707020462,-0.0526640117,0.00592203625
-0.0553664044,-0.0533492677,0.00192780606
-0.037953835,-0.0541318394,-0.00414922275
-0.0181928836,-0.0550933629,-0.012477519
0.00420025457,-0.0563006215,-0.0231647771
0.0296150967,-0.0578028224,-0.0362902917
0.0584270284,-0.0596180521,-0.051843252
0.0911072493,-0.0617333055,-0.0697765797
0.128060833,-0.0640892684,-0.0899214447
0.169761211,-0.0665853545,-0.112064496
0.216538295,-0.0690650046,-0.1358428
0.268715769,-0.0713253096,-0.160830408
0.326513529,-0.0731134191,-0.186500549
0.389891416,-0.0741288662,-0.21217972
0.458770633,-0.0740380511,-0.237168074
0.53269577,-0.0724817812,-0.260633886
0.61114794,-0.069088079,-0.281757504
0.693173885,-0.0634978265,-0.299650609
0.777764797,-0.0553652234,-0.313492477
0.863473117,-0.044404909,-0.322484851
0.948848367,-0.0303692315,-0.325958431
1.03206396,-0.0131180044,-0.323369086
1.1113838,0.00743794814,-0.314348668
1.18482709,0.0312445499,-0.298745871
1.25062358,0.0582018197,-0.276599973
1.30693853,0.08805044,-0.248223141
1.35226679,0.120510451,-0.214087814
1.38523591,0.155148089,-0.174946263
1.40488601,0.191549048,-0.131636664
1.4105643,0.229167581,-0.0852332711
1.40204966,0.267520875,-0.0367929339
1.37954128,0.306023508,0.0124707296
1.34361076,0.344188333,0.0614692979
1.29528451,0.381450504,0.109049141
1.23582554,0.417360842,0.154267862
1.1669066,0.451409459,0.196197718
1.09025216,0.483201087,0.234167486
1.00789309,0.512289822,0.267573118
0.921714842,0.53833133,0.296065897
0.833777606,0.560942292,0.31938526
0.745881438,0.579817116,0.337476909
0.659663796,0.594672859,0.35040912
0.576707065,0.605239749,0.358343601
0.498142779,0.611327291,0.361561835
0.425032049,0.612784982,0.360404879
0.357980222,0.609543025,0.355270237
0.297499359,0.601618946,0.346599668
0.243700564,0.589111507,0.334839702
0.196616024,0.572245598,0.320471466
0.155968517,0.551314831,0.303944111
0.121438257,0.526760221,0.285735935
0.0924990401,0.499060661,0.266268402
0.0686243176,0.468838513,0.245988056
0.0491757579,0.436707467,0.225267634
0.0335494019,0.403398216,0.20449999
0.0211019143,0.369579852,0.183993831
0.0112464409,0.33599788,0.164071515
0.00340271066,0.303289592,0.144967452
-0.00294478401,0.272126228,0.126923725
-0.00828236807,0.243040264,0.110097848
-0.0130332205,0.216563419,0.0946521088
-0.0175855309,0.193079293,0.0806748718
-0.0222700145,0.172947615,0.0682599917
-0.0273855403,0.156390384,0.0574439466
-0.0331776328,0.143591985,0.0482718386
-0.0398612693,0.134627491,0.04075462
-0.0476143621,0.129508093,0.0348982774
-0.0565605946,0.128185406,0.0307143554
-0.0668025315,0.130539984,0.0282002892
-0.0783752725,0.136392131,0.0273609795
-0.0912934393,0.145516098,0.0281960238
-0.105491981,0.157614902,0.030701451
-0.120886743,0.172366828,0.0348700806
-0.13730441,0.189370111,0.0406741202
-0.154557899,0.208218127,0.0480798595
-0.172369704,0.228422955,0.0570135675
-0.190460786,0.24951373,0.0673921034
-0.208472654,0.270949483,0.0790753141
-0.226064757,0.292231888,0.0919136927
-0.242840663,0.312816083,0.10569144
-0.258446932,0.332228035,0.120190091
-0.272507578,0.349980891,0.135126039
-0.284714699,0.365683466,0.150226995
-0.294775426,0.378968775,0.165167809
-0.302483559,0.389580578,0.17965275
-0.307682514,0.397319108,0.193353564
-0.310309201,0.402095467,0.205989197
-0.31037423,0.403896928,0.217269033
-0.307975113,0.402806133,0.226962045
-0.303293377,0.398985863,0.234848246
-0.296577096,0.392664522,0.240770116
-0.28815493,0.384141564,0.244596392
-0.27839312,0.373743176,0.24625124
-0.267723233,0.361848533,0.245694041
-0.256590039,0.348832935,0.242927641
-0.2454537,0.33506912,0.23798576
-0.234798908,0.320943415,0.230944902
-0.225074321,0.306783497,0.221897036
-0.216731653,0.29291749,0.210980624
-0.210167095,0.279597729,0.198335856
-0.20574975,0.26706174,0.184155598
-0.203780249,0.255464137,0.168624178
-0.204501033,0.24493517,0.151985615
-0.208078071,0.235524327,0.134468392
-0.214588746,0.227253973,0.116365165
-0.224032372,0.220077261,0.0979470015
-0.236293986,0.213925421,0.0795484632
-0.251188338,0.2086813,0.0614750274
-0.268402904,0.204221219,0.0440876894
-0.287576526,0.200403035,0.0277103167
-0.308228701,0.19710362,0.0127069708
-0.329870373,0.194217443,-0.000603455759
-0.351928055,0.191690236,-0.0118817184
-0.373877168,0.189521834,-0.0208391529
-0.395169646,0.187793344,-0.0271896739
-0.415374786,0.186668605,-0.0306991395
-0.434113324,0.186408609,-0.0311606266
-0.451188296,0.187367901,-0.0284174755
-0.466522574,0.18998833,-0.022367565
-0.480254233,0.194788128,-0.0129635762
-0.492710531,0.202344805,-0.000216637971
-0.504391193,0.213254854,0.0157732964
-0.515968919,0.228098825,0.0348141268
-0.528265119,0.247425869,0.0566424057
-0.542192459,0.27170977,0.0809009671
-0.558667421,0.301252514,0.10708195
-0.578603983,0.336259216,0.134632006
-0.602758348,0.376662612,0.162830576
-0.631754994,0.422271281,0.190933913
-0.665900052,0.472560674,0.218057737
-0.705267251,0.526894748,0.24333939
-0.749490261,0.584294856,0.265841395
-0.797934711,0.643728554,0.284712613
-0.849486291,0.703871429,0.299125284
-0.902809381,0.763442874,0.308409989
-0.95614922,0.820975542,0.312031001
-1.00765622,0.875165105,0.309668183
-1.05521667,0.9246611,0.301229775
-1.09679496,0.968393266,0.286859274
-1.13030899,1.00539243,0.266980857
-1.15392661,1.03505313,0.242222026
-1.16599894,1.05699241,0.213485524
-1.16524768,1.07121873,0.181795999
-1.15077007,1.07802987,0.148391858
-1.12206912,1.07807267,0.114521079
-1.07914174,1.07227719,0.0815451294
-1.02233124,1.06181467,0.0507211536
-0.952507377,1.04806042,0.0233068019
-0.870800197,1.03248465,0.000379448029
-0.778614044,1.0165869,-0.0171335321
-0.677760601,1.00184643,-0.0284635108
-0.569982767,0.989576399,-0.033085648
-0.457369119,0.980914891,-0.0306751933
-0.341766745,0.976705432,-0.0211316422
-0.225262836,0.97748363,-0.00458697695
-0.109571204,0.983425856,0.0186501052
0.00344929495,0.994328022,0.0480268262
0.112392657,1.00963998,0.082873717
0.215787068,1.02843571,0.122281104
0.312644005,1.04952741,0.165286511
0.401971936,1.07143414,0.210707575
0.483254433,1.09254932,0.257374078
0.556018054,1.11111569,0.303938448
0.620224655,1.12540674,0.349132746
0.675906599,1.13372028,0.391581297
0.723464191,1.13452446,0.430057704
0.763370574,1.1264894,0.463322163
0.796374857,1.10854614,0.490348697
0.823269665,1.07997525,0.510205686
0.845013261,1.0403465,0.522220314
0.862548172,0.989673436,0.525913239
0.876861691,0.928218186,0.52107501
0.888848126,0.856721699,0.507757783
0.89933455,0.776075721,0.486248136
0.90897727,0.687627316,0.457116097
0.918282509,0.592740536,0.421085179
0.927531481,0.493168622,0.37913537
0.936811745,0.390599668,0.332317263
0.945998788,0.286764354,0.28175503
0.954754889,0.183577597,0.228704259
0.962592781,0.0826431662,0.174284264
0.968872964,-0.0142943589,0.119691797
0.972884893,-0.105877958,0.0659025833
0.973870099,-0.190702334,0.013908023
0.971092939,-0.26778236,-0.0355624445
0.963889122,-0.336159378,-0.0817989931
0.951697707,-0.395285845,-0.124351874
0.934137583,-0.444695443,-0.162800357
0.910975099,-0.48428756,-0.19694978
0.882228374,-0.514077067,-0.226629645
0.848060429,-0.534373939,-0.251844853
0.808911622,-0.545618296,-0.272615969
0.765316188,-0.548458993,-0.289089054
0.718066752,-0.543673277,-0.301421702
0.667967439,-0.532155752,-0.309855044
0.616025567,-0.514913559,-0.314644694
0.563168824,-0.492984921,-0.3160972
0.510456204,-0.467494965,-0.314540654
0.458785713,-0.439525187,-0.310327739
0.409116387,-0.41021347,-0.303836823
0.362190694,-0.380597949,-0.295446604
0.318753064,-0.351739109,-0.285559565
0.279330969,-0.324578613,-0.274560928
0.244320303,-0.299984515,-0.262821645
0.214018285,-0.278769642,-0.25070703
0.188564122,-0.261642873,-0.238553479
0.167919621,-0.249186963,-0.226644233
0.151919469,-0.24189128,-0.21521835
0.140294254,-0.2401499,-0.204485103
0.132616758,-0.244239494,-0.194573179
0.128369257,-0.254327118,-0.185581237
0.126915932,-0.270493388,-0.177531287
0.127538577,-0.292685121,-0.170415208
0.129443154,-0.320797712,-0.164161161
0.131778449,-0.354569346,-0.158675522
0.133665979,-0.3937217,-0.15382041
0.134217113,-0.437796414,-0.14945063
0.132570937,-0.486347318,-0.145399764
0.127927229,-0.538726032,-0.141512871
0.119570762,-0.594317079,-0.137636676
0.106931947,-0.652281463,-0.133648947
0.0895774215,-0.711824775,-0.129448235
0.0673012882,-0.771914959,-0.124981143
0.0400625728,-0.831571937,-0.120227478
0.0081066275,-0.889580309,-0.115225457
-0.0281648599,-0.944786012,-0.11004933
-0.0680490062,-0.995832503,-0.104832411
-0.110739931,-1.04144645,-0.0997369736
-0.155170679,-1.08022213,-0.0949724689
-0.200264797,-1.11087799,-0.0907611847
-0.244776845,-1.13211334,-0.0873495117
-0.287543952,-1.14280248,-0.084975332
-0.327460796,-1.14196086,-0.0838642567
-0.363472015,-1.12883115,-0.0842143521
-0.394793779,-1.10291326,-0.0861785859
-0.420786798,-1.06407332,-0.089850612
-0.441145837,-1.01245964,-0.0952625647
-0.455797076,-0.948713839,-0.102359191
-0.465007454,-0.873737454,-0.111019075
-0.469309181,-0.788995028,-0.121019326
-0.46952799,-0.696134627,-0.132081181
-0.466730058,-0.597361088,-0.143829674
-0.462185651,-0.494935572,-0.155860543
-0.45732975,-0.391588688,-0.16770117
-0.453688264,-0.289947897,-0.17888996
-0.452836871,-0.192946494,-0.188944772
-0.456325293,-0.103242368,-0.197443172
-0.465613335,-0.0235864371,-0.204001933
-0.482030213,0.0437050313,-0.208343029
-0.506665707,0.0964598656,-0.210286543
-0.540398359,0.133057863,-0.209788203
-0.583723903,0.152249187,-0.206941515
-0.636880338,0.153387755,-0.201978654
-0.699605227,0.136377037,-0.195276946
-0.771375537,0.101693273,-0.187319756
-0.85109818,0.0504617095,-0.178703308
-0.937469244,-0.0157414079,-0.170064434
-1.02861595,-0.0946961045,-0.162083477
-1.12255895,-0.183931231,-0.155398905
-1.21683681,-0.280445039,-0.150601432
-1.30897963,-0.381181002,-0.148162037
-1.39642143,-0.483000219,-0.148414969
-1.47644806,-0.582610488,-0.151524901
-1.54666126,-0.677125037,-0.157475829
-1.60469747,-0.763703406,-0.166053668
-1.64865983,-0.840106487,-0.176885068
-1.67692327,-0.904365897,-0.189419731
-1.68841016,-0.955209792,-0.203016043
-1.68249834,-0.991785526,-0.216924578
-1.65909612,-1.01390815,-0.230400771
-1.6186645,-1.02185726,-0.242688864
-1.56207526,-1.01643789,-0.253133833
